Serial Number:20565251 --

"Date Time, GMT -0700","Temp, (*C)","Host Connect","EOF"
2022-07-20 13:21:00,25.60, , 
2022-07-20 13:22:00,25.67, , 
2022-07-20 13:23:00,25.78, , 
2022-07-20 13:23:44, ,Logged, 
2022-07-20 13:24:00,25.82, , 
2022-07-20 13:25:00,25.90, , 
2022-07-20 13:26:00,25.99, , 
2022-07-20 13:27:00,26.11, , 
2022-07-20 13:28:00,26.20, , 
2022-07-20 13:29:00,26.25, , 
2022-07-20 13:30:00,26.30, , 
2022-07-20 13:31:00,26.34, , 
2022-07-20 13:32:00,26.35, , 
2022-07-20 13:33:00,26.35, , 
2022-07-20 13:34:00,26.27, , 
2022-07-20 13:35:00,26.20, , 
2022-07-20 13:36:00,26.15, , 
2022-07-20 13:37:00,26.10, , 
2022-07-20 13:38:00,26.05, , 
2022-07-20 13:39:00,25.92, , 
2022-07-20 13:40:00,25.80, , 
2022-07-20 13:41:00,25.67, , 
2022-07-20 13:42:00,25.59, , 
2022-07-20 13:43:00,25.53, , 
2022-07-20 13:44:00,25.47, , 
2022-07-20 13:45:00,25.38, , 
2022-07-20 13:46:00,25.27, , 
2022-07-20 13:47:00,25.16, , 
2022-07-20 13:48:00,25.12, , 
2022-07-20 13:49:00,25.07, , 
2022-07-20 13:50:00,25.05, , 
2022-07-20 13:51:00,25.03, , 
2022-07-20 13:52:00,25.00, , 
2022-07-20 13:53:00,24.90, , 
2022-07-20 13:54:00,24.85, , 
2022-07-20 13:55:00,24.76, , 
2022-07-20 13:56:00,24.74, , 
2022-07-20 13:57:00,24.72, , 
2022-07-20 13:58:00,24.76, , 
2022-07-20 13:59:00,24.78, , 
2022-07-20 14:00:00,24.84, , 
2022-07-20 14:01:00,24.87, , 
2022-07-20 14:02:00,24.89, , 
2022-07-20 14:03:00,24.84, , 
2022-07-20 14:04:00,24.79, , 
2022-07-20 14:05:00,24.75, , 
2022-07-20 14:06:00,24.70, , 
2022-07-20 14:07:00,24.72, , 
2022-07-20 14:08:00,24.72, , 
2022-07-20 14:09:00,24.76, , 
2022-07-20 14:10:00,24.80, , 
2022-07-20 14:11:00,24.77, , 
2022-07-20 14:12:00,24.72, , 
2022-07-20 14:13:00,24.66, , 
2022-07-20 14:14:00,24.61, , 
2022-07-20 14:15:00,24.59, , 
2022-07-20 14:16:00,24.60, , 
2022-07-20 14:17:00,24.63, , 
2022-07-20 14:18:00,24.65, , 
2022-07-20 14:19:00,24.73, , 
2022-07-20 14:20:00,24.77, , 
2022-07-20 14:21:00,24.82, , 
2022-07-20 14:22:00,24.87, , 
2022-07-20 14:23:00,24.86, , 
2022-07-20 14:24:00,24.79, , 
2022-07-20 14:25:00,24.74, , 
2022-07-20 14:26:00,24.72, , 
2022-07-20 14:27:00,24.71, , 
2022-07-20 14:28:00,24.72, , 
2022-07-20 14:29:00,24.76, , 
2022-07-20 14:30:00,24.77, , 
2022-07-20 14:31:00,24.72, , 
2022-07-20 14:32:00,24.69, , 
2022-07-20 14:33:00,24.61, , 
2022-07-20 14:34:00,24.59, , 
2022-07-20 14:35:00,24.57, , 
2022-07-20 14:36:00,24.60, , 
2022-07-20 14:37:00,24.62, , 
2022-07-20 14:38:00,24.68, , 
2022-07-20 14:39:00,24.73, , 
2022-07-20 14:40:00,24.80, , 
2022-07-20 14:41:00,24.84, , 
2022-07-20 14:42:00,24.80, , 
2022-07-20 14:43:00,24.75, , 
2022-07-20 14:44:00,24.70, , 
2022-07-20 14:45:00,24.66, , 
2022-07-20 14:46:00,24.66, , 
2022-07-20 14:47:00,24.72, , 
2022-07-20 14:48:00,24.73, , 
2022-07-20 14:49:00,24.71, , 
2022-07-20 14:50:00,24.65, , 
2022-07-20 14:51:00,24.57, , 
2022-07-20 14:52:00,24.56, , 
2022-07-20 14:53:00,24.54, , 
2022-07-20 14:54:00,24.56, , 
2022-07-20 14:55:00,24.60, , 
2022-07-20 14:56:00,24.64, , 
2022-07-20 14:57:00,24.66, , 
2022-07-20 14:58:00,24.60, , 
2022-07-20 14:59:00,24.57, , 
2022-07-20 15:00:00,24.51, , 
2022-07-20 15:01:00,24.49, , 
2022-07-20 15:02:00,24.53, , 
2022-07-20 15:03:00,24.57, , 
2022-07-20 15:04:00,24.59, , 
2022-07-20 15:05:00,24.65, , 
2022-07-20 15:06:00,24.66, , 
2022-07-20 15:07:00,24.64, , 
2022-07-20 15:08:00,24.59, , 
2022-07-20 15:09:00,24.57, , 
2022-07-20 15:10:00,24.55, , 
2022-07-20 15:11:00,24.57, , 
2022-07-20 15:12:00,24.59, , 
2022-07-20 15:13:00,24.63, , 
2022-07-20 15:14:00,24.63, , 
2022-07-20 15:15:00,24.59, , 
2022-07-20 15:16:00,24.56, , 
2022-07-20 15:17:00,24.50, , 
