Serial Number:20565252 --,,,,,
,,,,,
"Date Time, GMT -0700","Temp, (*F)",Host Connect,Button Down,Button Up,EOF
7/7/2022 18:17,69.64, , , , 
7/7/2022 18:18,69.85, , , , 
7/7/2022 18:19,69.72, , , , 
7/7/2022 18:20,69.5, , , , 
7/7/2022 18:21,69.41, , , , 
7/7/2022 18:22,69.31, , , , 
7/7/2022 18:23,69.14, , , , 
7/7/2022 18:24,68.93, , , , 
7/7/2022 18:25,68.77, , , , 
7/7/2022 18:26,68.64, , , , 
7/7/2022 18:27,68.44, , , , 
7/7/2022 18:28,68.29, , , , 
7/7/2022 18:29,68.4, , , , 
7/7/2022 18:30,68.33, , , , 
7/7/2022 18:31,68.13, , , , 
7/7/2022 18:32,67.98, , , , 
7/7/2022 18:33,67.92, , , , 
7/7/2022 18:34,67.96, , , , 
7/7/2022 18:35,67.98, , , , 
7/7/2022 18:36,68.13, , , , 
7/7/2022 18:37,68.21, , , , 
7/7/2022 18:38,68.35, , , , 
7/7/2022 18:39,68.44, , , , 
7/7/2022 18:40,68.52, , , , 
7/7/2022 18:41,68.6, , , , 
7/7/2022 18:42,68.69, , , , 
7/7/2022 18:43,68.81, , , , 
7/7/2022 18:44,68.87, , , , 
7/7/2022 18:45,68.98, , , , 
7/7/2022 18:46,69.06, , , , 
7/7/2022 18:47,69.14, , , , 
7/7/2022 18:48,69.16, , , , 
7/7/2022 18:49,69.23, , , , 
7/7/2022 18:50,69.29, , , , 
7/7/2022 18:51,69.35, , , , 
7/7/2022 18:52,69.33, , , , 
7/7/2022 18:53,69.41, , , , 
7/7/2022 18:54,69.43, , , , 
7/7/2022 18:55,69.43, , , , 
7/7/2022 18:56,69.49, , , , 
7/7/2022 18:57,69.52, , , , 
7/7/2022 18:58,69.54, , , , 
7/7/2022 18:59,69.64, , , , 
7/7/2022 19:00,69.64, , , , 
7/7/2022 19:01,69.68, , , , 
7/7/2022 19:02,69.7, , , , 
7/7/2022 19:03,69.72, , , , 
7/7/2022 19:04,69.76, , , , 
7/7/2022 19:05,69.78, , , , 
7/7/2022 19:06,69.87, , , , 
7/7/2022 19:07,69.81, , , , 
7/7/2022 19:08,69.85, , , , 
7/7/2022 19:09,69.91, , , , 
7/7/2022 19:10,69.93, , , , 
7/7/2022 19:11,69.97, , , , 
7/7/2022 19:12,70.06, , , , 
7/7/2022 19:13,70.14, , , , 
7/7/2022 19:14,70.2, , , , 
7/7/2022 19:15,70.32, , , , 
7/7/2022 19:16,70.39, , , , 
7/7/2022 19:17,70.45, , , , 
7/7/2022 19:18,70.55, , , , 
7/7/2022 19:19,70.59, , , , 
7/7/2022 19:20,70.7, , , , 
7/7/2022 19:21,70.76, , , , 
7/7/2022 19:22,70.78, , , , 
7/7/2022 19:23,70.78, , , , 
7/7/2022 19:24,70.78, , , , 
7/7/2022 19:25,70.7, , , , 
7/7/2022 19:26,70.68, , , , 
7/7/2022 19:27,70.66, , , , 
7/7/2022 19:28,70.64, , , , 
7/7/2022 19:29,70.61, , , , 
7/7/2022 19:30,70.57, , , , 
7/7/2022 19:31,70.53, , , , 
7/7/2022 19:32,70.47, , , , 
7/7/2022 19:33,70.47, , , , 
7/7/2022 19:34,70.51, , , , 
7/7/2022 19:35,70.55, , , , 
