date,TTris,mVTris,TA
20220810,11.509,-120.3,
20220810,13.519,-117.9,
20220810,15.542,-114.8,
20220810,16.904,-113.4,
20220810,19.872,-109.8,
20220810,24.054,-102.6,
20220810,26.392,-99.9,
20220811,11.509,-120.3,
20220811,13.519,-117.9,
20220811,15.542,-114.8,
20220811,16.904,-113.4,
20220811,19.872,-109.8,
20220811,24.054,-102.6,
20220811,26.392,-99.9,
20220812,11.509,-120.3,
20220812,13.519,-117.9,
20220812,15.542,-114.8,
20220812,16.904,-113.4,
20220812,19.872,-109.8,
20220812,24.054,-102.6,
20220812,26.392,-99.9,
20220813,11.509,-120.3,
20220813,13.519,-117.9,
20220813,15.542,-114.8,
20220813,16.904,-113.4,
20220813,19.872,-109.8,
20220813,24.054,-102.6,
20220813,26.392,-99.9,
20220814,7.907,-121.9,
20220814,10.605,-118.3,
20220814,14.573,-113,
20220814,18.166,-108.6,
20220814,20.155,-105.3,
20220814,22.724,-102.7,
20220814,24.306,-99.9,
20220814,25.643,-96.7,
20220814,30.622,-89.2,
20220815,10.972,-118.1,
20220815,14.263,-113.4,
20220815,17.352,-109.6,
20220815,19.627,-104.4,
20220815,24.379,-99.6,
20220815,27.562,-95.3,
20220816,10.972,-118.1,
20220816,14.263,-113.4,
20220816,17.352,-109.6,
20220816,19.627,-104.4,
20220816,24.379,-99.6,
20220816,27.562,-95.3,
20220817,10.972,-118.1,
20220817,14.263,-113.4,
20220817,17.352,-109.6,
20220817,19.627,-104.4,
20220817,24.379,-99.6,
20220817,27.562,-95.3,
