date,SampleID,Salinity_lab,pH,TempInSitu
20220810,2,33.41,7.575704572703426,14.191
20220810,3,34.04,7.7502131638162925,16.52
20220810,4,34.99,7.531607293232494,20.808
20220810,5,34.46,7.403554527119315,24.358
20220810,6,34.21,7.609809261010798,27.12
20220810,7,34.04,7.548398837415693,25.802
20220810,8,34.04,7.555696647784605,27.697
20220810,9,32.86,7.57728373978442,12.11
20220810,10,33.65,8.00824433312516,14.124
20220810,11,34.18,7.984372773170807,17.399
20220810,12,33.49,8.008689033850537,15.715
20220810,13,34.65,8.015664758047206,14.414
20220810,14,35.35,7.934471108329736,25.231
20220810,15,34.69,7.886110866278357,30.157
20220810,16,33.75,7.9040569249482235,27.631
20220810,18,32.13,8.022659652494717,13.064
20220810,sump,32.91,8.101206883072742,9.624
20220811,2,33.36,7.560709421119756,14.028
20220811,3,33.61,7.618872855840858,13.789
20220811,4,34.19,7.541699882123458,18.084
20220811,5,33.89,7.505401903914517,19.83
20220811,6,33.86,7.562715816091852,20.023
20220811,7,33.78,7.580065756886044,19.368
20220811,8,33.74,7.565313093077466,18.918
20220811,9,33.58,7.623248741469184,11.506
20220811,10,33.95,7.882376415930424,12.864
20220811,11,33.79,7.864099001909745,15.268
20220811,12,33.78,7.857200768285568,15.775
20220811,13,33.82,7.853543726015456,17.382
20220811,14,33.92,7.845603583691377,18.608
20220811,15,34.01,7.804193169674791,22.552
20220811,16,33.94,7.809630823812413,22.994
20220811,18,31.89,7.904408984103082,11.711
20220811,sump,33.39,7.936094062280457,9.971
