date,SampleID,Salinity_lab,pH,TempInSitu
20220810,2,33.41,7.575704573,14.191
20220810,3,34.04,7.750213164,16.52
20220810,4,34.99,7.531607293,20.808
20220810,5,34.46,7.403554527,24.358
20220810,6,34.21,7.609809261,27.12
20220810,7,34.04,7.548398837,25.802
20220810,8,34.04,7.555696648,27.697
20220810,9,32.86,7.57728374,12.11
20220810,10,33.65,8.008244333,14.124
20220810,11,34.18,7.984372773,17.399
20220810,12,33.49,8.008689034,15.715
20220810,13,34.65,8.015664758,14.414
20220810,14,35.35,7.934471108,25.231
20220810,15,34.69,7.886110866,30.157
20220810,16,33.75,7.904056925,27.631
20220810,18,32.13,8.022659652,13.064
20220810,sump,32.91,8.101206883,9.624
20220811,1,,,
20220811,2,,,
20220811,3,,,
20220811,4,,,
,5,,,
,6,,,
,7,,,
,8,,,
,9,,,
,10,,,
,11,,,
,12,,,
,13,,,
,14,,,
,15,,,
,16,,,
,17,,,
,18,,,
,19,,,
,20,,,
,sump,,,
