date,SampleID,Salinity_lab,mV,TempInSitu
20220810,2,33.41,-67.8,14.191
20220810,3,34.04,-78.5,16.52
20220810,4,34.99,-67.2,20.808
20220810,5,34.46,-60.9,24.358
20220810,6,34.21,-74.1,27.12
20220810,7,34.04,-70,25.802
20220810,8,34.04,-71.1,27.697
20220810,9,32.86,-67.3,12.11
20220810,10,33.65,-92.4,14.124
20220810,11,34.18,-92.3,17.399
20220810,12,33.49,-93.1,15.715
20220810,13,34.65,-92.8,14.414
20220810,14,35.35,-92.5,25.231
20220810,15,34.69,-91.8,30.157
20220810,16,33.75,-91.9,27.631
20220810,18,32.13,-93,13.064
20220810,sump,32.91,-95.9,9.624
