Tank,apex,probe,diff,newapex,apex,probe,time
1,8.03,8.07,0.04,7.99,,,
2,7.7,7.78,0.08,7.62,,,
3,7.7,7.93,0.23,7.47,,,
4,7.7,7.88,0.18,7.52,,,
5,7.74,7.85,0.11,7.59,,,
6,7.7,7.81,0.11,7.59,,,
7,7.7,7.87,0.17,7.53,,,
8,7.7,7.9,0.2,7.5,,,
9,7.95,7.99,0.04,7.66,,,
10,7.91,8.07,0.16,7.75,,,
11,7.89,8.04,0.15,7.74,,,
12,7.88,8.05,0.17,7.71,,,
13,8.1,8.05,-0.05,8.15,,,
14,8.16,8.04,-0.12,8.28,,,
15,7.53,8.03,0.5,7.03,,,
16,8.08,8.01,-0.07,8.15,,,
17,7.61,7.72,0.11,7.5,,,
18,7.93,8.06,0.13,7.8,,,
19,7.96,8.09,0.13,7.83,,,
20,8.06,8.06,0,8.06,,,
sump,7.87,8.12,0.25,7.62,,,
