SC_project_short_code,cbs_site_code,survey_rep,section,transect,interval_m,angle,line_length_m
SC_Rocky_It,35,1,1,0,0.25,180,30
SC_Rocky_It,35,1,1,3,0.25,180,29.5
SC_Rocky_It,35,1,1,6,0.25,180,29
SC_Rocky_It,35,1,1,9,0.25,180,28
SC_Rocky_It,35,1,1,12,0.25,180,28.5
SC_Rocky_It,35,1,2,15,0.25,180,22
SC_Rocky_It,35,1,2,18,0.25,180,21
SC_Rocky_It,35,1,2,21,0.25,180,20
SC_Rocky_It,35,1,2,24,0.25,180,20
SC_Rocky_It,35,1,2,27,0.25,180,19
SC_Rocky_It,35,1,2,30,0.25,180,19
SC_Rocky_It,35,2,1,0,0.25,180,30
SC_Rocky_It,35,2,1,3,0.25,180,30
SC_Rocky_It,35,2,1,6,0.25,180,30
SC_Rocky_It,35,2,1,9,0.25,180,28
SC_Rocky_It,35,2,1,12,0.25,180,28.5
SC_Rocky_It,35,2,2,15,0.25,180,24
SC_Rocky_It,35,2,2,18,0.25,180,24
SC_Rocky_It,35,2,2,21,0.25,180,25
SC_Rocky_It,35,2,2,24,0.25,180,25
SC_Rocky_It,35,2,2,27,0.25,180,25
SC_Rocky_It,35,2,2,30,0.25,180,21
SC_Rocky_It,37,1,1,0,0.2,150,18
SC_Rocky_It,37,1,1,3,0.2,150,18
SC_Rocky_It,37,1,1,6,0.2,150,18
SC_Rocky_It,37,1,1,9,0.2,150,18.4
SC_Rocky_It,37,1,1,12,0.2,150,21
SC_Rocky_It,37,1,1,15,0.2,150,20
SC_Rocky_It,37,1,1,18,0.2,150,20
SC_Rocky_It,37,1,1,21,0.2,150,20
SC_Rocky_It,37,1,1,24,0.2,150,20
SC_Rocky_It,37,1,1,27,0.2,150,20
SC_Rocky_It,37,1,1,30,0.2,150,20
SC_Rocky_It,37,2,1,0,0.2,150,20
SC_Rocky_It,37,2,1,3,0.2,150,20
SC_Rocky_It,37,2,1,6,0.2,150,20
SC_Rocky_It,37,2,1,9,0.2,150,19
SC_Rocky_It,37,2,1,12,0.2,150,21
SC_Rocky_It,37,2,1,15,0.2,150,21
SC_Rocky_It,37,2,1,18,0.2,150,21
SC_Rocky_It,37,2,1,21,0.2,150,20
SC_Rocky_It,37,2,1,24,0.2,150,20
SC_Rocky_It,37,2,1,27,0.2,150,20
SC_Rocky_It,37,2,1,30,0.2,150,20
SC_Rocky_It,38,1,1,0,0.33,155,37
SC_Rocky_It,38,1,1,3,0.33,155,37
SC_Rocky_It,38,1,1,6,0.33,155,37
SC_Rocky_It,38,1,1,9,0.33,155,37
SC_Rocky_It,38,1,1,12,0.33,155,37.33
SC_Rocky_It,38,1,1,15,0.33,155,38
SC_Rocky_It,38,1,1,18,0.33,155,38
SC_Rocky_It,38,1,1,21,0.33,155,38
SC_Rocky_It,38,1,1,24,0.33,155,41
SC_Rocky_It,38,1,1,27,0.33,155,34.33
SC_Rocky_It,38,1,1,30,0.33,155,34
SC_Rocky_It,38,2,1,0,0.33,155,39.66
SC_Rocky_It,38,2,1,3,0.33,155,39
SC_Rocky_It,38,2,1,6,0.33,155,40
SC_Rocky_It,38,2,1,9,0.33,155,40
SC_Rocky_It,38,2,1,12,0.33,155,39.66
SC_Rocky_It,38,2,1,15,0.33,155,40.33
SC_Rocky_It,38,2,1,18,0.33,155,40.66
SC_Rocky_It,38,2,1,21,0.33,155,33
SC_Rocky_It,38,2,1,24,0.33,155,36
SC_Rocky_It,38,2,1,27,0.33,155,35
SC_Rocky_It,38,2,1,30,0.33,155,35
SC_Rocky_It,38,3,1,0,0.33,155,40
SC_Rocky_It,38,3,1,3,0.33,155,39
SC_Rocky_It,38,3,1,6,0.33,155,40
SC_Rocky_It,38,3,1,9,0.33,155,40
SC_Rocky_It,38,3,1,12,0.33,155,40
SC_Rocky_It,38,3,1,15,0.33,155,37
SC_Rocky_It,38,3,1,18,0.33,155,39.66
SC_Rocky_It,38,3,1,21,0.33,155,34.33
SC_Rocky_It,38,3,1,24,0.33,155,35
SC_Rocky_It,38,3,1,27,0.33,155,35
SC_Rocky_It,38,3,1,30,0.33,155,34.66
SC_Rocky_It,38,4,1,0,0.33,155,35
SC_Rocky_It,38,4,1,3,0.33,155,34.33
SC_Rocky_It,38,4,1,6,0.33,155,33
SC_Rocky_It,38,4,1,9,0.33,155,33
SC_Rocky_It,38,4,1,12,0.33,155,31
SC_Rocky_It,38,4,1,15,0.33,155,33
SC_Rocky_It,38,4,1,18,0.33,155,33
SC_Rocky_It,38,4,1,21,0.33,155,32
SC_Rocky_It,38,4,1,24,0.33,155,33
SC_Rocky_It,38,4,1,27,0.33,155,32
SC_Rocky_It,38,4,1,30,0.33,155,30
SC_Rocky_It,39,1,1,0,0.5,175,50
SC_Rocky_It,39,1,1,3,0.5,175,50
SC_Rocky_It,39,1,1,6,0.5,175,50
SC_Rocky_It,39,1,1,9,0.5,175,50
SC_Rocky_It,39,1,1,12,0.5,175,50
SC_Rocky_It,39,1,1,15,0.5,175,50
SC_Rocky_It,39,1,1,18,0.5,175,50
SC_Rocky_It,39,1,1,21,0.5,175,50
SC_Rocky_It,39,1,1,24,0.5,175,50
SC_Rocky_It,39,1,1,27,0.5,175,50
SC_Rocky_It,39,1,1,30,0.5,175,50
SC_Rocky_It,39,2,1,0,0.5,175,50
SC_Rocky_It,39,2,1,3,0.5,175,50
SC_Rocky_It,39,2,1,6,0.5,175,50
SC_Rocky_It,39,2,1,9,0.5,175,50
SC_Rocky_It,39,2,1,12,0.5,175,50
SC_Rocky_It,39,2,1,15,0.5,175,50
SC_Rocky_It,39,2,1,18,0.5,175,50
SC_Rocky_It,39,2,1,21,0.5,175,50
SC_Rocky_It,39,2,1,24,0.5,175,50
SC_Rocky_It,39,2,1,27,0.5,175,50
SC_Rocky_It,39,2,1,30,0.5,175,50
SC_Rocky_It,39,3,1,0,0.5,175,50
SC_Rocky_It,39,3,1,3,0.5,175,50
SC_Rocky_It,39,3,1,6,0.5,175,50
SC_Rocky_It,39,3,1,9,0.5,175,50
SC_Rocky_It,39,3,1,12,0.5,175,50
SC_Rocky_It,39,3,1,15,0.5,175,50
SC_Rocky_It,39,3,1,18,0.5,175,50
SC_Rocky_It,39,3,1,21,0.5,175,50
SC_Rocky_It,39,3,1,24,0.5,175,50
SC_Rocky_It,39,3,1,27,0.5,175,50
SC_Rocky_It,39,3,1,30,0.5,175,50
SC_Rocky_It,39,4,1,0,0.5,175,50
SC_Rocky_It,39,4,1,3,0.5,175,50
SC_Rocky_It,39,4,1,6,0.5,175,50
SC_Rocky_It,39,4,1,9,0.5,175,50
SC_Rocky_It,39,4,1,12,0.5,175,50
SC_Rocky_It,39,4,1,15,0.5,175,50
SC_Rocky_It,39,4,1,18,0.5,175,50
SC_Rocky_It,39,4,1,21,0.5,175,50
SC_Rocky_It,39,4,1,24,0.5,175,50
SC_Rocky_It,39,4,1,27,0.5,175,50
SC_Rocky_It,39,4,1,30,0.5,175,50
SC_Rocky_It,40,1,1,0,0.5,195,50
SC_Rocky_It,40,1,1,3,0.5,195,50
SC_Rocky_It,40,1,1,6,0.5,195,50
SC_Rocky_It,40,1,1,9,0.5,195,50.5
SC_Rocky_It,40,1,1,12,0.5,195,50
SC_Rocky_It,40,1,1,15,0.5,195,50
SC_Rocky_It,40,1,1,18,0.5,195,51
SC_Rocky_It,40,1,1,21,0.5,195,50
SC_Rocky_It,40,1,1,24,0.5,195,50.5
SC_Rocky_It,40,1,1,27,0.5,195,50
SC_Rocky_It,40,1,2,30,0.5,,50
SC_Rocky_It,40,2,1,0,0.5,195,50
SC_Rocky_It,40,2,1,3,0.5,195,50
SC_Rocky_It,40,2,1,6,0.5,195,50
SC_Rocky_It,40,2,1,9,0.5,195,50
SC_Rocky_It,40,2,1,12,0.5,195,50
SC_Rocky_It,40,2,1,15,0.5,195,50
SC_Rocky_It,40,2,1,18,0.5,195,50
SC_Rocky_It,40,2,1,21,0.5,195,50
SC_Rocky_It,40,2,1,24,0.5,195,50
SC_Rocky_It,40,2,1,27,0.5,195,38
SC_Rocky_It,40,2,2,30,0.5,,37
SC_Rocky_It,40,3,1,0,0.5,195,34
SC_Rocky_It,40,3,1,3,0.5,195,33.9
SC_Rocky_It,40,3,1,6,0.5,195,39
SC_Rocky_It,40,3,1,9,0.5,195,38
SC_Rocky_It,40,3,1,12,0.5,195,40
