SC_project_short_code,SiteID,SampleSeason,SamplingSeasonCode,Year,SeasonSeq,TargetSpecies,PlotID,SixLetterCode,DepthMeasurement,Depth_mm,MusselDepthCode,MethodCode
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,3,MYTCAL,Depth01,,LT10,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,3,MYTCAL,Depth02,,LT10,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,3,MYTCAL,Depth03,,LT10,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,3,MYTCAL,Depth04,,LT10,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,3,MYTCAL,Depth05,,LT10,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,1,MYTCAL,Depth01,80,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,1,MYTCAL,Depth02,100,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,2,MYTCAL,Depth01,60,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,2,MYTCAL,Depth02,60,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,2,MYTCAL,Depth03,30,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,2,MYTCAL,Depth04,40,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,2,MYTCAL,Depth05,160,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,3,MYTCAL,Depth01,30,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,3,MYTCAL,Depth02,70,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,3,MYTCAL,Depth04,50,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,4,MYTCAL,Depth01,40,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,4,MYTCAL,Depth04,70,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,5,MYTCAL,Depth02,80,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,5,MYTCAL,Depth03,80,M,PP
SC_Rocky_It,CRCO,123,FA11,2011,3,mytilus,5,MYTCAL,Depth05,80,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth01,117,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth02,115,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth03,49,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth04,22,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth05,44,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth01,34,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth02,65,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth03,155,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth04,75,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth05,130,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth01,94,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth02,92,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth03,128,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth04,27,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth05,49,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,4,MYTCAL,Depth01,31,M,PP
SC_Rocky_It,CRCO,127,FA12,2012,3,mytilus,4,MYTCAL,Depth02,45,M,PP
