MPA_Name,MPA_designation,MPA_study_region,SubSection,PreText,Coordinate,PostText,Lat,Long,LongDDM,LatDDM,SortOrder,PositionID
Abalone Cove State Marine Conservation Area,SMCA,SC,120,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,33Á 44.190' N. lat. 118Á 23.800' W. long.;, ,33.7365,-118.396667,118Á 23.800' W,33Á 44.190' N,1,120_1
Abalone Cove State Marine Conservation Area,SMCA,SC,120, ,33Á 41.160' N. lat. 118Á 23.800' W. long.;,thence southeastward along the three nautical mile offshore boundary to,33.686,-118.396667,118Á 23.800' W,33Á 41.160' N,2,120_2
Abalone Cove State Marine Conservation Area,SMCA,SC,120, ,33Á 40.850' N. lat. 118Á 22.500' W. long.;,and,33.680833,-118.375,118Á 22.500' W,33Á 40.850' N,3,120_3
Abalone Cove State Marine Conservation Area,SMCA,SC,120, ,33Á 44.240' N. lat. 118Á 22.500' W. long., ,33.737333,-118.375,118Á 22.500' W,33Á 44.240' N,4,120_4
Anacapa Island Special Closure,Special Closure,SC,111,(B) A brown pelican fledgling area is designated from the mean high tide mark seaward to a water depth of 20 fathoms (120 feet) on the north side of West Anacapa Island between a line extending 000ŒÁ True off Portuguese Rock,34Á 00.910' N. lat. 119Á 25.260' W. long., ,34.015167,-119.421,119Á 25.260' W,34Á 0.910' N,1,111_1
Anacapa Island Special Closure,Special Closure,SC,111, to a line extending 000ŒÁ True off the western edge of Frenchy's Cove,34Á 00.417' N. lat. 119Á 24.600' W. long.,"a distance of approximately 4,000 feet. No person except department employees or employees of the National Park Service in the performance of their official duties shall enter this area during the period January 1 to October 31.",34.00695,-119.41,119Á 24.600' W,34Á 0.417' N,2,111_2
Anacapa Island State Marine Conservation Area,SMCA,SC,112,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 00.828' N. lat. 119Á 26.623' W. long.;, ,34.0138,-119.443717,119Á 26.623' W,34Á 0.828' N,1,112_1
Anacapa Island State Marine Conservation Area,SMCA,SC,112, ,34Á 00.800' N. lat. 119Á 26.700' W. long.;, ,34.013333,-119.445,119Á 26.700' W,34Á 0.800' N,2,112_2
Anacapa Island State Marine Conservation Area,SMCA,SC,112, ,34Á 03.940' N. lat. 119Á 26.700' W. long.;,thence eastward along the three nautical mile offshore boundary to,34.065667,-119.445,119Á 26.700' W,34Á 3.940' N,3,112_3
Anacapa Island State Marine Conservation Area,SMCA,SC,112, ,34Á 04.002' N. lat. 119Á 24.600' W. long.;,and,34.0667,-119.41,119Á 24.600' W,34Á 4.002' N,4,112_4
Anacapa Island State Marine Conservation Area,SMCA,SC,112, ,34Á 00.417' N. lat. 119Á 24.600' W. long., ,34.00695,-119.41,119Á 24.600' W,34Á 0.417' N,5,112_5
Anacapa Island State Marine Reserve,SMR,SC,113,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 00.417' N. lat. 119Á 24.600' W. long.;, ,34.00695,-119.41,119Á 24.600' W,34Á 0.417' N,1,113_1
Anacapa Island State Marine Reserve,SMR,SC,113, ,34Á 04.002' N. lat. 119Á 24.600' W. long.;,thence eastward along the three nautical mile offshore boundary to,34.0667,-119.41,119Á 24.600' W,34Á 4.002' N,2,113_2
Anacapa Island State Marine Reserve,SMR,SC,113, ,34Á 04.033' N. lat. 119Á 21.400' W. long.;, ,34.067217,-119.356667,119Á 21.400' W,34Á 4.033' N,3,113_3
Anacapa Island State Marine Reserve,SMR,SC,113, ,34Á 01.000' N. lat. 119Á 21.400' W. long.;,and,34.016667,-119.356667,119Á 21.400' W,34Á 1.000' N,4,113_4
Anacapa Island State Marine Reserve,SMR,SC,113, ,34Á 00.960' N. lat. 119Á 21.449' W. long., ,34.016,-119.357483,119Á 21.449' W,34Á 0.960' N,5,113_5
Arrow Point to Lion Head Point (Catalina Island) State Marine Conservation Area,SMCA,SC,123,(A) This area is bounded by the mean high tide line to a distance of 1000 feet seaward of the mean lower low tide line of any shoreline southeastward of a line connecting the following two points:,33Á 28.660' N. lat. 118Á 32.310' W. long.;,and,33.477667,-118.5385,118Á 32.310' W,33Á 28.660' N,1,123_1
Arrow Point to Lion Head Point (Catalina Island) State Marine Conservation Area,SMCA,SC,123, ,33Á 28.820' N. lat. 118Á 32.310' W. long., ,33.480333,-118.5385,118Á 32.310' W,33Á 28.820' N,2,123_2
Arrow Point to Lion Head Point (Catalina Island) State Marine Conservation Area,SMCA,SC,123,And northwestward of a line connecting the following two points:,33Á 27.240' N. lat. 118Á 29.900' W. long.;,and,33.454,-118.498333,118Á 29.900' W,33Á 27.240' N,3,123_3
Arrow Point to Lion Head Point (Catalina Island) State Marine Conservation Area,SMCA,SC,123, ,33Á 27.170' N. lat. 118Á 30.100' W. long., ,33.452833,-118.501667,118Á 30.100' W,33Á 27.170' N,4,123_4
Batiquitos Lagoon State Marine Conservation Area,SMCA (No-Take),SC,137,"(A) This area includes the waters below the mean high tide line within Batiquitos Lagoon eastward of the Interstate Highway 5 Bridge, approximated by a line between the following two points:",33Á 05.440' N. lat. 117Á 18.120' W. long.;,and,33.090667,-117.302,117Á 18.120' W,33Á 5.440' N,1,137_1
Batiquitos Lagoon State Marine Conservation Area,SMCA (No-Take),SC,137, ,33Á 05.460' N. lat. 117Á 18.130' W. long., ,33.091,-117.302167,117Á 18.130' W,33Á 5.460' N,2,137_2
Begg Rock (San Nicolas Island Quad) State Marine Reserve,SMR,SC,115,"(A) This area includes all state waters below the mean high tide line surrounding Begg Rock, located in the vicinity of",33Á 21.710' N. lat. 119Á 41.760' W. long., ,33.361833,-119.696,119Á 41.760' W,33Á 21.710' N,1,115_1
Blue Cavern (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,125,(A) This area is bounded by straight lines connecting the following points in the order listed except where noted:,33Á 27.500' N. lat. 118Á 27.000' W. long.;, ,33.458333,-118.45,118Á 27.000' W,33Á 27.500' N,1,125_1
Blue Cavern (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,125, ,33Á 29.970' N. lat. 118Á 27.000' W. long.;,thence northwestward along the three nautical mile offshore boundary to,33.4995,-118.45,118Á 27.000' W,33Á 29.970' N,2,125_2
Blue Cavern (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,125, ,33Á 30.810' N. lat. 118Á 29.300' W. long.;, ,33.5135,-118.488333,118Á 29.300' W,33Á 30.810' N,3,125_3
Blue Cavern (Catalina Island) Offshore State Marine Conservation Area,SMCA,SC,125, ,33Á 27.500' N. lat. 118Á 29.300' W. long.;,and,33.458333,-118.488333,118Á 29.300' W,33Á 27.500' N,4,125_4
Blue Cavern (Catalina Island) Onshore State Marine Conservation Area,SMCA (No-Take),SC,124,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 25.960' N. lat. 118Á 27.000' W. long.;, ,33.432667,-118.45,118Á 27.000' W,33Á 25.960' N,1,124_1
Blue Cavern (Catalina Island) Onshore State Marine Conservation Area,SMCA (No-Take),SC,124, ,33Á 27.500' N. lat. 118Á 27.000' W. long.;, ,33.458333,-118.45,118Á 27.000' W,33Á 27.500' N,2,124_2
Blue Cavern (Catalina Island) Onshore State Marine Conservation Area,SMCA (No-Take),SC,124, ,33Á 27.500' N. lat. 118Á 29.300' W. long.;,and,33.458333,-118.488333,118Á 29.300' W,33Á 27.500' N,3,124_3
Blue Cavern (Catalina Island) Onshore State Marine Conservation Area,SMCA (No-Take),SC,124, ,33Á 26.640' N. lat. 118Á 29.300' W. long., ,33.444,-118.488333,118Á 29.300' W,33Á 26.640' N,4,124_4
Bolsa Bay State Marine Conservation Area,SMCA,SC,121,(A) This area includes the waters below the mean high tide line within Bolsa Bay estuary southward of a line that approximates the Warner Avenue bridge located between the following two points:,33Á 42.700' N. lat. 118Á 03.630' W. long.;,and,33.711667,-118.0605,118Á 3.630' W,33Á 42.700' N,1,121_1
Bolsa Bay State Marine Conservation Area,SMCA,SC,121, ,33Á 42.700' N. lat. 118Á 03.610' W. long.;, ,33.711667,-118.060167,118Á 3.610' W,33Á 42.700' N,2,121_2
Bolsa Bay State Marine Conservation Area,SMCA,SC,121,and northward of a line that approximates the pedestrian bridge located between the following two points:,33Á 42.220' N. lat. 118Á 03.170' W. long.;,and,33.703667,-118.052833,118Á 3.170' W,33Á 42.220' N,3,121_3
Bolsa Bay State Marine Conservation Area,SMCA,SC,121, ,33Á 42.190' N. lat. 118Á 03.180' W. long., ,33.703167,-118.053,118Á 3.180' W,33Á 42.190' N,4,121_4
Bolsa Chica Basin State Marine Conservation Area,SMCA (No-Take),SC,122,"(A) This area includes the waters below the mean high tide line within the Bolsa Chica Basin estuary northeastward of the Pacific Coast Highway Bridge, approximated by a straight line between the following two points:",33Á 41.020' N. lat. 118Á 02.150' W. long.;,and,33.683667,-118.035833,118Á 2.150' W,33Á 41.020' N,1,122_1
Bolsa Chica Basin State Marine Conservation Area,SMCA (No-Take),SC,122, ,33Á 40.980' N. lat. 118Á 02.110' W. long.;, ,33.683,-118.035167,118Á 2.110' W,33Á 40.980' N,2,122_2
Bolsa Chica Basin State Marine Conservation Area,SMCA (No-Take),SC,122,and southeastward of a straight line between the following two points:,33Á 42.220' N. lat. 118Á 03.170' W. long.;,and,33.703667,-118.052833,118Á 3.170' W,33Á 42.220' N,3,122_3
Bolsa Chica Basin State Marine Conservation Area,SMCA (No-Take),SC,122, ,33Á 42.190' N. lat. 118Á 03.180' W. long., ,33.703167,-118.053,118Á 3.180' W,33Á 42.190' N,4,122_4
Cabrillo State Marine Reserve,SMR,SC,146,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,32Á 40.600' N. lat. 117Á 14.820' W. long.;, ,32.676667,-117.247,117Á 14.820' W,32Á 40.600' N,1,146_1
Cabrillo State Marine Reserve,SMR,SC,146, ,32Á 40.600' N. lat. 117Á 15.000' W. long.;, ,32.676667,-117.25,117Á 15.000' W,32Á 40.600' N,2,146_2
Cabrillo State Marine Reserve,SMR,SC,146, ,32Á 39.700' N. lat. 117Á 15.000' W. long.;, ,32.661667,-117.25,117Á 15.000' W,32Á 39.700' N,3,146_3
Cabrillo State Marine Reserve,SMR,SC,146, ,32Á 39.700' N. lat. 117Á 14.300' W. long.;,and,32.661667,-117.238333,117Á 14.300' W,32Á 39.700' N,4,146_4
Cabrillo State Marine Reserve,SMR,SC,146, ,32Á 40.000' N. lat. 117Á 14.300' W. long., ,32.666667,-117.238333,117Á 14.300' W,32Á 40.000' N,5,146_5
Campus Point State Marine Conservation Area,SMCA (No-Take),SC,99,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 25.200' N. lat. 119Á 53.600' W. long.;, ,34.42,-119.893333,119Á 53.600' W,34Á 25.200' N,1,99_1
Campus Point State Marine Conservation Area,SMCA (No-Take),SC,99, ,34Á 21.480' N. lat. 119Á 53.600' W. long.;,thence eastward along the three nautical mile offshore boundary to,34.358,-119.893333,119Á 53.600' W,34Á 21.480' N,2,99_2
Campus Point State Marine Conservation Area,SMCA (No-Take),SC,99, ,34Á 21.210' N. lat. 119Á 50.650' W. long.;,and,34.3535,-119.844167,119Á 50.650' W,34Á 21.210' N,3,99_3
Campus Point State Marine Conservation Area,SMCA (No-Take),SC,99, ,34Á 24.300' N. lat. 119Á 50.650' W. long., ,34.405,-119.844167,119Á 50.650' W,34Á 24.300' N,4,99_4
Carrington Point (Santa Rosa Island) State Marine Reserve,SMR,SC,105,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,34Á 01.296' N. lat. 120Á 05.200' W. long.;, ,34.0216,-120.086667,120Á 5.200' W,34Á 1.296' N,1,105_1
Carrington Point (Santa Rosa Island) State Marine Reserve,SMR,SC,105, ,34Á 04.000' N. lat. 120Á 05.200' W. long.;, ,34.066667,-120.086667,120Á 5.200' W,34Á 4.000' N,2,105_2
Carrington Point (Santa Rosa Island) State Marine Reserve,SMR,SC,105, ,34Á 04.000' N. lat. 120Á 01.000' W. long.;, ,34.066667,-120.016667,120Á 1.000' W,34Á 4.000' N,3,105_3
Carrington Point (Santa Rosa Island) State Marine Reserve,SMR,SC,105, ,34Á 00.500' N. lat. 120Á 01.000' W. long.;,and,34.008333,-120.016667,120Á 1.000' W,34Á 0.500' N,4,105_4
Carrington Point (Santa Rosa Island) State Marine Reserve,SMR,SC,105, ,34Á 00.500' N. lat. 120Á 02.930' W. long., ,34.008333,-120.048833,120Á 2.930' W,34Á 0.500' N,5,105_5
Casino Point (Catalina Island) State Marine Conservation Area,SMCA (No-Take),SC,127,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 20.900' N. lat. 118Á 19.430' W. long.;, ,33.348333,-118.323833,118Á 19.430' W,33Á 20.900' N,1,127_1
Casino Point (Catalina Island) State Marine Conservation Area,SMCA (No-Take),SC,127, ,33Á 20.900' N. lat. 118Á 19.420' W. long.;, ,33.348333,-118.323667,118Á 19.420' W,33Á 20.900' N,2,127_2
Casino Point (Catalina Island) State Marine Conservation Area,SMCA (No-Take),SC,127, ,33Á 20.920' N. lat. 118Á 19.380' W. long.;, ,33.348667,-118.323,118Á 19.380' W,33Á 20.920' N,3,127_3
Casino Point (Catalina Island) State Marine Conservation Area,SMCA (No-Take),SC,127, ,33Á 20.950' N. lat. 118Á 19.420' W. long.;, ,33.349167,-118.323667,118Á 19.420' W,33Á 20.950' N,4,127_4
Casino Point (Catalina Island) State Marine Conservation Area,SMCA (No-Take),SC,127, ,33Á 20.970' N. lat. 118Á 19.470' W. long.;, ,33.3495,-118.3245,118Á 19.470' W,33Á 20.970' N,5,127_5
Casino Point (Catalina Island) State Marine Conservation Area,SMCA (No-Take),SC,127, ,33Á 21.000' N. lat. 118Á 19.520' W. long.;,and,33.35,-118.325333,118Á 19.520' W,33Á 21.000' N,6,127_6
