SC_MPA_BoundaryInformation_LookupTable.csv,"Lookup table containing a list of South Coast (SC) Marine Protected Area (MPA) boundary coordinates. The boundary coordinates in this table were provided by Paulo Serpa, California Department of Fish and Wildlife."
MPA_name,The name of the California Marine Protected Area described by the associated boundary coordinates. Name of the MPA as identified by the California Department of Fish and Wildlife (CDFW).
MPA_designation,"Defines the type of MPA referenced in the MPA_name field. (SMCA = State Marine Conservation Area. An MPA designation that may allow some recreational and/or commercial take of marine resources (restrictions vary). SMCA (No-Take) = State Marine Conservation Area (No-Take). An MPA designation that generally prohibits the take of living, geological, and cultural marine resources, but allows potentially affected and ongoing permitted activities such as dredging and maintenance to continue. SMR = State Marine Reserve. An MPA designation that prohibits damage or take of all marine resources (living, geologic, or cultural) including recreational and commercial take. SMRMA = State Marine Recreational Management Area. A California Marine Management Act designation that limits recreational and commercial take of marine resources while allowing for legal waterfowl hunting to occur; provides subtidal protection equivalent to an MPA (restrictions vary). Special Closure - An area designated by the Fish and Game Commission that prohibits access or restricts boating activities in waters adjacent to sea bird rookeries or marine mammal haul-out sites (restrictions vary)."
MPA_study_region,Defines the region of the MPA referenced in the MPA_name field. NC = North Coast (CA/OR border to Alder Creek near Point Arena); SC = South Coast (Point Conception to the CA/Mexico border); NCC = North Central Coast (Alder Creek near Point Arena to Pigeon Point); CC = Central Coast (Pigeon Point to Point Conception); 
SubSection,An integer number associated with the MPA referenced in the MPA_name field.
PreText,Introductory text to guide interpretation of the boundary information for the MPA referenced in the MPA_name field.
Coordinate,"The full Global Positioning System (GPS) coordinate pair used by California Department of Fish and Wildlife (CDFW) to define a boundary of the referenced MPA, expressed in degrees decimal minutes. MPAs that are defined by multiple coordinate pairs are described in multiple rows in the lookup table."
PostText,Text to guide interpretation of the coordinate(s) for the MPA referenced in the MPA_name field.
Lat,"The number of degrees North of the equator, expressed in decimal degrees."
Long,"The number of degrees West of the Prime Meridian, expressed in decimal degrees."
LatDDM,"The number of degrees North of the equator, expressed in degrees decimal minutes."
LongDDM,"The number of degrees West of the Prime Meridian, expressed in degrees decimal minutes."
SortOrder,An integer number that indicates the order in which to sort the rows of boundary information for the referenced MPA.
PositionID,"The order in which to sort the rows of boundary information for the referenced MPA, organized by SubSection."
